단축코드,한글 종목약명
100220,비상교육
90460,비에이치
5180,빙그레
3960,사조대림
8040,사조동아원
7160,사조산업
14710,사조씨푸드
6090,사조오양
62040,산일전기
1470,삼부토건
28050,삼성E&A
448730,삼성FN리츠
6400,삼성SDI
6660,삼성공조
28260,삼성물산
207940,삼성바이오로직스
32830,삼성생명
18260,삼성에스디에스
9150,삼성전기
5930,삼성전자
1360,삼성제약
10140,삼성중공업
16360,삼성증권
68290,삼성출판사
29780,삼성카드
810,삼성화재
6110,삼아알미늄
145990,삼양사
3230,삼양식품
2170,삼양통상
272550,삼양패키징
70,삼양홀딩스
2810,삼영무역
3720,삼영
5680,삼영전자
23000,삼원강재
4380,삼익THK
2450,삼익악기
4440,삼일씨엔에스
520,삼일제약
9770,삼정펄프
5500,삼진제약
4690,삼천리
10960,삼호개발
4450,삼화왕관
9470,삼화전기
11230,삼화전자
1820,삼화콘덴서
390,삼화페인트
1290,상상인증권
41650,상신브레이크
75180,새론오토모티브
7540,샘표
248170,샘표식품
7860,서연
200880,서연이화
17390,서울가스
4410,서울식품
21050,서원
8490,서흥
7610,선도전기
2820,SUN&L
136490,선진
14910,성문전자
3080,성보화학
4980,성신양회
11300,성안머티리얼스
180,성창기업지주
2420,세기상사
4360,세방
4490,세방전지
1430,세아베스틸지주
306200,세아제강
3030,세아제강지주
19440,세아특수강
58650,세아홀딩스
13000,세우글로벌
91090,세원이앤씨
21820,세원정공
67830,세이브존I&C
75580,세진중공업
68270,셀트리온
336370,솔루스첨단소재
248070,솔루엠
4430,송원산업
126720,수산인더스트리
17550,수산중공업
204210,스타에스엠리츠
26890,스틱인베스트먼트
134790,시디즈
480,CR홀딩스
462870,시프트업
16590,신대양제지
29530,신도리코
4970,신라교역
11930,신성이엔지
5390,신성통상
34300,신세계건설
4170,신세계
35510,신세계 I&C
31430,신세계인터내셔날
31440,신세계푸드
6880,신송홀딩스
5800,신영와코루
1720,신영증권
9270,신원
2700,신일전자
2870,신풍
19170,신풍제약
481850,신한글로벌액티브리츠
55550,신한지주
404990,신한서부티엔디리츠
293940,신한알파리츠
4080,신흥
102280,쌍방울
4770,써니전자
403550,쏘카
4920,씨아이테크
112610,씨에스윈드
120,CJ대한통운
79160,CJ CGV
97950,CJ제일제당
308170,씨티알모빌리티
8700,아남전자
2790,아모레G
90430,아모레퍼시픽
2030,아세아
183190,아세아시멘트
2310,아세아제지
12170,아센디오
267850,아시아나IDT
20560,아시아나항공
122900,아이마켓코리아
10780,아이에스동서
139990,아주스틸
9320,아진전자부품
1780,알루코
18250,애경산업
161000,애경케미칼
11090,에넥스
137310,에스디바이오센서
34120,SBS
5850,에스엘
10580,에스엠벡셀
12750,에스원
33530,SJG세종
4060,SG세계물산
6120,SK디스커버리
302440,SK바이오사이언스
326030,SK바이오팜
475150,SK이터닉스
660,SK하이닉스
23960,에쓰씨엔지니어링
298690,에어부산
78520,에이블씨엔씨
15260,에이엔피
140910,에이리츠
39570,HDC랩스
89470,HDC현대EP
9540,HD한국조선해양
267270,HD현대건설기계
443060,HD현대마린솔루션
71970,HD현대마린엔진
10620,HD현대미포
267250,HD현대
322000,HD현대에너지솔루션
42670,HD현대인프라코어
267260,HD현대일렉트릭
329180,HD현대중공업
2460,HS화성
487570,HS효성
298050,HS효성첨단소재
3580,HLB글로벌
11200,HMM
3060,에이프로젠바이오로직스
7460,에이프로젠
244920,에이플러스에셋
278470,에이피알
450080,에코프로머티
36570,엔씨소프트
400760,NH올원리츠
5940,NH투자증권
85310,엔케이
900140,엘브이엠씨홀딩스
66970,엘앤에프
108670,LX하우시스
383800,LX홀딩스
37560,LG헬로비전
97520,엠씨넥스
14440,영보화학
111770,영원무역
9970,영원무역홀딩스
3520,영진약품
670,영풍
6740,영풍제지
12280,영화금속
12160,영흥
15360,예스코홀딩스
7310,오뚜기
2630,오리엔트바이오
271560,오리온
1800,오리온홀딩스
10060,OCI홀딩스
5320,온타이드
37270,YG PLUS
11690,와이투솔루션
316140,우리금융지주
6980,우성
17370,우신시스템
105840,우진
10400,우진아이엔에스
49800,우진플라임
16880,웅진
95720,웅진씽크빅
5820,원림
10600,웰바이오텍
8600,윌비스
14830,유니드
446070,유니드비티플러스
47400,유니온머티리얼
910,유니온
11330,유니켐
77500,유니퀘스트
2920,유성기업
700,유수홀딩스
3470,유안타증권
72130,유엔젤
220,유유제약
1200,유진투자증권
100,유한양행
3460,유화증권
8730,율촌화학
8250,이건산업
25820,이구산업
214320,이노션
88260,이리츠코크렙
139480,이마트
457190,이수스페셜티케미컬
7660,이수페타시스
5950,이수화학
15020,이스타코
93230,이아이디
74610,이엔플러스
102460,이연제약
84680,이월드
350520,이지스레지던스리츠
334890,이지스밸류리츠
760,이화산업
14990,인디에프
101140,인바이오젠
6490,인스코비
23800,인지컨트롤스
34590,인천도시가스
129260,인터지스
23810,인팩
249420,일동제약
230,일동홀딩스
13360,일성건설
3120,일성아이에스
3200,일신방직
7110,일신석재
7570,일양약품
8500,일정실업
81000,일진다이아
20760,일진디스플
103590,일진전기
271940,일진하이솔루스
15860,일진홀딩스
226320,잇츠한불
317400,자이에스앤디
33240,자화전자
950,전방
79900,전진건설로봇
348950,제이알글로벌리츠
194370,제이에스코퍼레이션
25620,제이준코스메틱
30000,제일기획
271980,제일약품
1560,제일연마
2620,제일파마홀딩스
6220,제주은행
89590,제주항공
4910,조광페인트
4700,조광피혁
1550,조비
462520,조선내화
120030,조선선재
18470,조일알미늄
2600,조흥
63160,종근당바이오
185750,종근당
1630,종근당홀딩스
109070,주성코퍼레이션
23450,동남합성
2380,KCC
44380,주연테크
24110,기업은행
13890,지누스
1250,GS글로벌
7070,GS리테일
13870,지엠비코리아
71320,지역난방공사
88790,진도
3780,진양산업
10640,진양폴리
100250,진양홀딩스
51630,진양화학
272450,진에어
11000,진원생명과학
2780,진흥기업
9310,참엔지니어링
650,천일고속
12600,청호ICT
33250,체시스
323410,카카오뱅크
35720,카카오
377300,카카오페이
6380,카프로
1620,케이비아이동국실업
9440,KC그린홀딩스
29460,케이씨
344820,KCC글라스
119650,KC코트렐
281820,케이씨텍
15590,KIB플러그에너지
44450,KSS해운
92220,KEC
381970,케이카
145270,케이탑리츠
30200,KT
53210,스카이라이프
58850,KTcs
58860,KTis
33780,KT&G
417310,코람코더원리츠
357120,코람코라이프인프라리츠
7810,코리아써키트
3690,코리안리
192820,코스맥스
44820,코스맥스비티아이
5070,코스모신소재
5420,코스모화학
71950,코아스
3070,코오롱글로벌
450140,코오롱모빌리티그룹
2020,코오롱
138490,코오롱ENP
120110,코오롱인더
21240,코웨이
36420,콘텐트리중앙
24720,콜마홀딩스
31820,콤텍시스템
192400,쿠쿠홀딩스
284740,쿠쿠홈시스
264900,크라운제과
5740,크라운해태홀딩스
259960,크래프톤
20120,키다리스튜디오
39490,키움증권
14580,태경비케이
15890,태경산업
6890,태경케미컬
3240,태광산업
11280,태림포장
4100,태양금속
9410,태영건설
1420,태원물산
55490,테이팩스
78000,텔코웨어
214420,토니모리
19180,티에이치엔
2900,TYM
363280,티와이홀딩스
91810,티웨이항공
4870,티웨이홀딩스
69260,TKG휴켐스
7980,TP
34230,파라다이스
5690,파미셀
36580,팜스코
4720,팜젠사이언스
28670,팬오션
10820,퍼스텍
16800,퍼시스
1020,페이퍼코리아
90080,평화산업
10770,평화홀딩스
22100,포스코DX
58430,포스코스틸리온
47050,포스코인터내셔널
3670,포스코퓨처엠
5490,POSCO홀딩스
17810,풀무원
103140,풍산
5810,풍산홀딩스
950210,프레스티지바이오파마
9810,플레이그램
178920,PI첨단소재
86790,하나금융지주
293480,하나제약
39130,하나투어
352820,하이브
71090,하이스틸
19490,하이트론
80,하이트진로
140,하이트진로홀딩스
36460,한국가스공사
5430,한국공항
10040,한국내화
25540,한국단자
10100,한국무브넥스
4090,한국석유
2200,한국수출포장
2960,한국쉘석유
240,한국앤컴퍼니
33270,유나이티드제약
123890,한국자산신탁
15760,한국전력
52690,한전기술
6200,한국전자홀딩스
27970,한국제지
23350,한국종합기술
25890,한국주강
970,한국주철관
104700,한국철강
17960,한국카본
161890,한국콜마
161390,한국타이어앤테크놀로지
34830,한국토지신탁
152550,한국ANKOR유전
168490,한국패러랠
71050,한국금융지주
7280,한국특강
47810,한국항공우주
123690,한국화장품
3350,한국화장품제조
11500,한농화성
2390,한독
53690,한미글로벌
42700,한미반도체
8930,한미사이언스
128940,한미약품
9240,한샘
20000,한섬
3680,한성기업
105630,한세실업
69640,한세엠케이
16450,한세예스24홀딩스
10420,한솔PNS
9180,한솔로지스틱스
213500,한솔제지
14680,한솔케미칼
4710,한솔테크닉스
4150,한솔홀딩스
25750,한솔홈데코
4960,한신공영
11700,한신기계
1750,한양증권
18880,한온시스템
9420,한올바이오파마
14130,한익스프레스
300720,한일시멘트
2220,한일철강
6390,한일현대시멘트
3300,한일홀딩스
51600,한전KPS
130660,한전산업
2320,한진
3480,한진중공업홀딩스
180640,한진칼
5110,한창
9460,한창제지
372910,한컴라이프케어
452260,한화갤러리아
451800,한화리츠
880,한화
88350,한화생명
370,한화손해보험
9830,한화솔루션
272210,한화시스템
12450,한화에어로스페이스
82740,한화엔진
42660,한화오션
489790,한화인더스트리얼솔루션즈
3530,한화투자증권
195870,해성디에스
101530,해태제과식품
143210,핸즈코퍼레이션
720,현대건설
453340,현대그린푸드
86280,현대글로비스
64350,현대로템
79430,현대리바트
12330,현대모비스
69960,현대백화점
4560,현대비앤지스틸
4310,현대약품
17800,현대엘리베이
307950,현대오토에버
11210,현대위아
5380,현대차
4020,현대제철
5440,현대지에프홀딩스
1500,현대차증권
11760,현대코퍼레이션
227840,현대코퍼레이션홀딩스
126560,현대퓨처넷
1450,현대해상
57050,현대홈쇼핑
93240,형지엘리트
3010,혜인
111110,호전실업
8770,호텔신라
378850,화승알앤에이
241590,화승엔터프라이즈
6060,화승인더
13520,화승코퍼레이션
10690,화신
133820,화인베스틸
10660,화천기계
850,화천기공
16580,환인제약
32560,황금에스티
4800,효성
94280,효성ITX
298040,효성중공업
298020,효성티앤씨
298000,효성화학
93370,후성
81660,휠라홀딩스
5870,휴니드
79980,휴비스
5010,휴스틸
540,흥국화재
3280,흥아해운
